,flashlet_number,fyield,datetime,seq,seq_time,pfd,led_sequence
1162,43,0.210283,2016-07-06 18:06:26,8.0,86,0.0003036,2
1163,44,0.199778,2016-07-06 18:06:26,8.0,88,0.0003036,2
1164,45,0.195138,2016-07-06 18:06:26,8.0,90,0.0003036,2
1165,46,0.21011300000000002,2016-07-06 18:06:26,8.0,92,0.0003036,2
1166,47,0.20213399999999998,2016-07-06 18:06:26,8.0,94,0.0003036,2
1167,48,0.192882,2016-07-06 18:06:26,8.0,96,0.0003036,2
1168,49,0.199011,2016-07-06 18:06:26,8.0,98,0.0003036,2
1169,50,0.197722,2016-07-06 18:06:26,8.0,100,0.0003036,2
1170,51,0.199919,2016-07-06 18:06:26,8.0,102,0.0003036,2
1171,52,0.195859,2016-07-06 18:06:26,8.0,104,0.0003036,2
1172,53,0.20701399999999998,2016-07-06 18:06:26,8.0,106,0.0003036,2
1173,54,0.200147,2016-07-06 18:06:26,8.0,108,0.0003036,2
1174,55,0.199567,2016-07-06 18:06:26,8.0,110,0.0003036,2
1175,56,0.21125,2016-07-06 18:06:26,8.0,112,0.0003036,2
1176,57,0.20883600000000002,2016-07-06 18:06:26,8.0,114,0.0003036,2
1177,58,0.20835599999999999,2016-07-06 18:06:26,8.0,116,0.0003036,2
1178,59,0.202649,2016-07-06 18:06:26,8.0,118,0.0003036,2
1179,60,0.193925,2016-07-06 18:06:26,8.0,120,0.0003036,2
1180,61,0.199438,2016-07-06 18:06:26,8.0,122,0.0003036,2
1181,62,0.202344,2016-07-06 18:06:26,8.0,124,0.0003036,2
1182,63,0.198935,2016-07-06 18:06:26,8.0,126,0.0003036,2
1183,64,0.202432,2016-07-06 18:06:26,8.0,128,0.0003036,2
1184,65,0.211432,2016-07-06 18:06:26,8.0,130,0.0003036,2
1185,66,0.205262,2016-07-06 18:06:26,8.0,132,0.0003036,2
1186,67,0.203874,2016-07-06 18:06:26,8.0,134,0.0003036,2
1187,68,0.206979,2016-07-06 18:06:26,8.0,136,0.0003036,2
1188,69,0.207717,2016-07-06 18:06:26,8.0,138,0.0003036,2
1189,70,0.200745,2016-07-06 18:06:26,8.0,140,0.0003036,2
1190,71,0.20965100000000003,2016-07-06 18:06:26,8.0,142,0.0003036,2
1191,72,0.20555500000000002,2016-07-06 18:06:26,8.0,144,0.0003036,2
1192,73,0.208473,2016-07-06 18:06:26,8.0,146,0.0003036,2
1193,74,0.20573699999999998,2016-07-06 18:06:26,8.0,148,0.0003036,2
1194,75,0.206159,2016-07-06 18:06:26,8.0,150,0.0003036,2
1195,76,0.201559,2016-07-06 18:06:26,8.0,152,0.0003036,2
1196,77,0.19705999999999999,2016-07-06 18:06:26,8.0,154,0.0003036,2
1197,78,0.200036,2016-07-06 18:06:26,8.0,156,0.0003036,2
1198,79,0.21735500000000002,2016-07-06 18:06:26,8.0,158,0.0003036,2
1199,80,0.21991,2016-07-06 18:06:26,8.0,160,0.0003036,2
1200,81,0.199415,2016-07-06 18:06:26,8.0,162,0.0003036,2
1201,82,0.213178,2016-07-06 18:06:26,8.0,164,0.0003036,2
1202,83,0.207477,2016-07-06 18:06:26,8.0,166,0.0003036,2
1203,84,0.196796,2016-07-06 18:06:26,8.0,168,0.0003036,2
1204,85,0.206346,2016-07-06 18:06:26,8.0,170,0.0003036,2
1205,86,0.200686,2016-07-06 18:06:26,8.0,172,0.0003036,2
1206,87,0.204817,2016-07-06 18:06:26,8.0,174,0.0003036,2
1207,88,0.21434899999999998,2016-07-06 18:06:26,8.0,176,0.0003036,2
