,flashlet_number,fyield,datetime,seq,seq_time,pfd
269,110.0,253.7,2017-01-13 22:28:15,1,820,0.00028443295999999995
270,111.0,181.2,2017-01-13 22:28:15,1,1000,0.00028443295999999995
271,112.0,212.0,2017-01-13 22:28:15,1,1180,0.00028443295999999995
272,113.0,209.3,2017-01-13 22:28:15,1,1360,0.00028443295999999995
273,114.0,200.6,2017-01-13 22:28:15,1,1540,0.00028443295999999995
274,115.0,207.6,2017-01-13 22:28:15,1,2080,0.00028443295999999995
275,116.0,214.3,2017-01-13 22:28:15,1,2701,0.00028443295999999995
276,117.0,228.1,2017-01-13 22:28:15,1,3415,0.00028443295999999995
277,118.0,168.0,2017-01-13 22:28:15,1,4236,0.00028443295999999995
278,119.0,135.0,2017-01-13 22:28:15,1,5180,0.00028443295999999995
279,120.0,249.3,2017-01-13 22:28:15,1,6266,0.00028443295999999995
280,121.0,192.1,2017-01-13 22:28:15,1,7515,0.00028443295999999995
281,122.0,226.0,2017-01-13 22:28:15,1,8951,0.00028443295999999995
282,123.0,184.2,2017-01-13 22:28:15,1,10602,0.00028443295999999995
283,124.0,222.9,2017-01-13 22:28:15,1,12501,0.00028443295999999995
284,125.0,185.6,2017-01-13 22:28:15,1,14685,0.00028443295999999995
285,126.0,199.8,2017-01-13 22:28:15,1,17197,0.00028443295999999995
286,127.0,173.0,2017-01-13 22:28:15,1,20086,0.00028443295999999995
287,128.0,192.7,2017-01-13 22:28:15,1,23408,0.00028443295999999995
288,129.0,208.0,2017-01-13 22:28:15,1,27228,0.00028443295999999995
289,130.0,215.9,2017-01-13 22:28:15,1,31621,0.00028443295999999995
290,131.0,191.6,2017-01-13 22:28:15,1,36673,0.00028443295999999995
291,132.0,246.3,2017-01-13 22:28:15,1,42483,0.00028443295999999995
292,133.0,218.4,2017-01-13 22:28:15,1,49165,0.00028443295999999995
293,134.0,182.5,2017-01-13 22:28:15,1,56849,0.00028443295999999995
294,135.0,221.0,2017-01-13 22:28:15,1,65686,0.00028443295999999995
295,136.0,226.4,2017-01-13 22:28:15,1,75849,0.00028443295999999995
296,137.0,138.4,2017-01-13 22:28:15,1,87536,0.00028443295999999995
297,138.0,204.7,2017-01-13 22:28:15,1,100976,0.00028443295999999995
298,139.0,237.6,2017-01-13 22:28:15,1,116432,0.00028443295999999995
299,140.0,193.2,2017-01-13 22:28:15,1,134206,0.00028443295999999995
300,141.0,199.7,2017-01-13 22:28:15,1,154646,0.00028443295999999995
301,142.0,166.4,2017-01-13 22:28:15,1,178152,0.00028443295999999995
302,143.0,192.5,2017-01-13 22:28:15,1,205184,0.00028443295999999995
303,144.0,163.1,2017-01-13 22:28:15,1,236271,0.00028443295999999995
304,145.0,144.2,2017-01-13 22:28:15,1,272021,0.00028443295999999995
305,146.0,191.0,2017-01-13 22:28:15,1,313133,0.00028443295999999995
306,147.0,204.7,2017-01-13 22:28:15,1,360412,0.00028443295999999995
307,148.0,167.6,2017-01-13 22:28:15,1,414783,0.00028443295999999995
308,149.0,214.3,2017-01-13 22:28:15,1,477310,0.00028443295999999995
309,150.0,213.9,2017-01-13 22:28:15,1,542310,0.00028443295999999995
310,151.0,166.6,2017-01-13 22:28:15,1,607310,0.00028443295999999995
311,152.0,185.4,2017-01-13 22:28:15,1,672310,0.00028443295999999995
312,153.0,141.0,2017-01-13 22:28:15,1,737310,0.00028443295999999995
313,154.0,160.1,2017-01-13 22:28:15,1,802310,0.00028443295999999995
314,155.0,178.3,2017-01-13 22:28:15,1,867310,0.00028443295999999995
315,156.0,223.1,2017-01-13 22:28:15,1,932310,0.00028443295999999995
316,157.0,218.4,2017-01-13 22:28:15,1,997310,0.00028443295999999995
317,158.0,170.3,2017-01-13 22:28:15,1,1062310,0.00028443295999999995
318,159.0,203.9,2017-01-13 22:28:15,1,1127310,0.00028443295999999995
319,160.0,203.9,2017-01-13 22:28:15,1,1192310,0.00028443295999999995
320,1.0,224.8,2017-01-13 22:30:09,2,1,0.00028443295999999995
321,2.0,363.9,2017-01-13 22:30:09,2,2,0.00028443295999999995
322,3.0,375.7,2017-01-13 22:30:09,2,3,0.00028443295999999995
323,4.0,382.3,2017-01-13 22:30:09,2,4,0.00028443295999999995
